sample_id,noise_type,noise_note,food_entity,perturbed_question_zh,ground_truth,bucket_primary,bucket_multi,difficulty_level
1,incomplete_label,Product/category descriptor replaced by an incomplete label phrase.,植物油脂,请在产品名称不完整的情况下核查以下配方是否符合 GB2760：硬脂酰乳酸钙 0.4g/kg、迷迭香提取物 0.6g/kg。,迷迭香提取物: SAFE | 硬脂酰乳酸钙: RISK_OVERLIMIT,Easy-type,Easy-type,L1_EASY
34,ambiguous_commercial_name,Ambiguous commercial-style modifier added to the product name.,果蔬汁(浆),请核查鲜榨果蔬汁儿童款果蔬汁(浆)配方中维生素C 0.9g/kg 及二氧化硫及亚硫酸盐 0.04g/kg 的使用是否符合 GB2760 标准。,维生素C: SAFE | 二氧化硫及亚硫酸盐: SAFE,Easy-type,Easy-type,L1_EASY
58,compound_food,Compound-food descriptor added to introduce multi-component category ambiguity.,杂粮罐头,请核查以下杂粮罐头（含谷物颗粒）（红豆 + 小米）配方是否符合 GB2760：叶黄素 0.03g/kg、蔗糖脂肪酸酯 1.2g/kg、磷酸及磷酸盐 2.0g/kg。,叶黄素: SAFE | 蔗糖脂肪酸酯: SAFE | 磷酸及磷酸盐：RISK_OVERLIMIT,Easy-type,Easy-type,L1_EASY
76,multilingual_synonym,Chinese-English synonym or alias added to the food descriptor.,调味酱,核查以下拌饭酱调味酱 / sauce配方是否符合GB2760：红花黄 0.4g/kg、ε-聚赖氨酸盐酸盐 0.3g/kg、羧甲基淀粉钠 0.2g/kg。,ε-聚赖氨酸盐酸盐: SAFE | 红花黄: SAFE | 羧甲基淀粉钠：RISK_OVERLIMIT,Easy-type,Easy-type,L1_EASY
105,missing_quantity_unit,Explicit quantity units removed while numeric values are retained.,膨化食品,请核查以下薯片配方的合规性：阿斯巴甜 0.15。,阿斯巴甜: SAFE,Easy-type,Easy-type,L1_EASY
108,incomplete_label,Product/category descriptor replaced by an incomplete label phrase.,鱼子制品,请在产品名称不完整的情况下核查以下配方是否符合 GB2760：日落黄及其铝色淀 0.12g/kg。,日落黄及其铝色淀: SAFE,Easy-type,Easy-type,L1_EASY
26,ambiguous_commercial_name,Ambiguous commercial-style modifier added to the product name.,香辛料油,请核查花椒油清爽型香辛料油配方中二氧化硅 12.0g/kg 和双乙酰酒石酸单双甘油酯 0.002g/kg 的使用是否符合 GB2760 标准。,二氧化硅: SAFE | 双乙酰酒石酸单双甘油酯: RISK_OVERLIMIT,H-type,H-type|O-type,L3_MIXED
32,compound_food,Compound-food descriptor added to introduce multi-component category ambiguity.,干酪类似品,针对【人造干酪】，请核查以下干酪类似品（含夹心）配方是否符合 GB2760：阿斯巴甜 0.6g/kg、纽甜 0.026g/kg、刺云实胶 10g/kg。,阿斯巴甜: SAFE | 纽甜: SAFE | 刺云实胶：RISK_OVERLIMIT,H-type,H-type,L2_SINGLE
41,multilingual_synonym,Chinese-English synonym or alias added to the food descriptor.,人造黄油(人造奶油)及其类似制品(如黄油和人造黄油混合品),请核查人造奶油人造黄油(人造奶油)及其类似制品(如黄油和人造黄油混合品) / food product配方中胭脂树橙 0.03g/kg 和栀子黄 1.2g/kg、迷迭香提取物 0.5g/kg、β-胡萝卜素 1.2g/kg 的使用是否符合 GB2760 标准。,"胭脂树橙(又名红木素,降红木素): SAFE | 栀子黄: SAFE | 迷迭香提取物：SAFE | β-胡萝卜素：RISK_OVERLIMIT",H-type,H-type,L2_SINGLE
57,missing_quantity_unit,Explicit quantity units removed while numeric values are retained.,熟化干酪,请核查以下配方是否符合GB2760：切达干酪。含β-胡萝卜素 0.6、胭脂树橙 0.48、刺云实胶：10、纳他霉素 0.4。,"β-胡萝卜素: SAFE | 胭脂树橙(又名红木素,降红木素): SAFE | 刺云实胶：RISK_OVERLIMIT | 纳他霉素：RISK_OVERLIMIT",H-type,H-type,L2_SINGLE
