release_version,sample_id,question_zh,food_entity_original,food_category_code,food_category_name,category_mapping_source,category_mapping_note,gold_items,recipe_gold_label,additive_count,bucket_primary,bucket_multi,difficulty_level,correction_applied
partial-dataset-v1.0.0,1,请核查以下植物油脂配方的合规性：硬脂酰乳酸钙 0.4g/kg、迷迭香提取物 0.6g/kg。,植物油脂,02.01.01,植物油脂,category_name_exact,,迷迭香提取物: SAFE | 硬脂酰乳酸钙: RISK_OVERLIMIT,RISK,2,Easy-type,Easy-type,L1_EASY,False
partial-dataset-v1.0.0,2,请核查朗姆酒配方中焦糖色(亚硫酸铵法) 3.6g/L 和焦糖色(普通法) 4.8g/L 的使用是否符合 GB2760 标准。,朗姆酒,15.01.06,朗姆酒,category_name_exact,,焦糖色(亚硫酸铵法): SAFE | 焦糖色(普通法): SAFE,SAFE,2,Easy-type,Easy-type,L1_EASY,False
partial-dataset-v1.0.0,3,请核查蛋黄酪配方中添加剂使用的合规性：碳酸钙 0.1g/kg、磷酸及磷酸盐 4.0g/kg、对羟基苯甲酸酯类及其钠盐 0.12g/kg，确保符合GB2760标准。,热凝固蛋制品(如蛋黄酪、皮蛋肠),10.03.02,热凝固蛋制品(如蛋黄酪、皮蛋肠),category_name_exact,,碳酸钙: RISK_FORBIDDEN | 磷酸及磷酸盐: SAFE | 对羟基苯甲酸酯类及其钠盐: SAFE,RISK,3,N-type,N-type,L2_SINGLE,False
partial-dataset-v1.0.0,4,去皮土豆配方中存在抗坏血酸钙 0.8g/kg 和抗坏血酸 3.0g/kg ，是否合规。,去皮、切块或切丝的蔬菜,04.02.01.03,去皮、切块或切丝的蔬菜,category_name_exact,,抗坏血酸: SAFE | 抗坏血酸钙: SAFE,SAFE,2,Easy-type,Easy-type,L1_EASY,False
partial-dataset-v1.0.0,5,核查以下配方的合规性：发酵火腿。甘草抗氧化物 0.16g/kg、乳酸钙 0.1g/kg、竹叶抗氧化物 0.3g/kg。,发酵肉制品类,08.03.06,发酵肉制品类,category_name_exact,,竹叶抗氧化物: SAFE | 甘草抗氧化物: SAFE | 乳酸钙: RISK_FORBIDDEN,RISK,3,N-type,N-type,L2_SINGLE,False
partial-dataset-v1.0.0,6,核查以下预制肉配方的合规性：β-环状糊精 0.8g/kg、甘氨酸 4.0g/kg、茶黄素 0.5g/kg、磷酸及磷酸盐 4.0g/kg、沙蒿胶 0.45g/kg,预制肉制品,08.02,预制肉制品,category_name_exact,,β-环状糊精: SAFE | 甘氨酸: RISK_OVERLIMIT | 茶黄素: RISK_OVERLIMIT | 磷酸及磷酸盐: SAFE | 沙蒿胶: SAFE,RISK,5,O-type,O-type,L2_SINGLE,False
partial-dataset-v1.0.0,7,核查以下配方是否合规：牛油火锅底料。三氯蔗糖 0.1g/kg、番茄红 0.188g/kg、日落黄及其铝色淀 0.3g/kg。,半固体复合调味料,12.10.02,半固体复合调味料,category_name_exact,,日落黄及其铝色淀: SAFE | 番茄红: RISK_OVERLIMIT | 三氯蔗糖: SAFE,RISK,3,H-type,H-type|O-type,L3_MIXED,True
partial-dataset-v1.0.0,8,请核查以下配方是否合规：熟肉制品。脱氢乙酸及其钠盐 0.75g/kg、乳酸链球菌素 0.3g/kg、丙二醇脂肪酸酯 0.1g/kg。,熟肉制品,08.03,熟肉制品,category_name_exact,,"乳酸链球菌素: SAFE | 脱氢乙酸及其钠盐(包括脱氢乙酸,脱氢乙酸钠): RISK_OVERLIMIT | 丙二醇脂肪酸酯: RISK_FORBIDDEN",RISK,3,N-type,N-type,L2_SINGLE,False
partial-dataset-v1.0.0,9,核查以下配方是否合规：葡萄调味糖浆。日落黄及其铝色淀 0.4g/kg、茶多酚 0.6g/kg、柠檬黄及其铝色淀 0.4g/kg、胭脂红及其铝色淀 0.35g/kg,水果调味糖浆,11.05.01,水果调味糖浆,category_name_exact,,日落黄及其铝色淀: SAFE | 茶多酚: RISK_OVERLIMIT | 柠檬黄及其铝色淀: SAFE | 胭脂红及其铝色淀: SAFE,RISK,4,Easy-type,Easy-type,L1_EASY,False
partial-dataset-v1.0.0,10,核查以下配方是否符合GB2760：食用淀粉。高锰酸钾 0.4g/kg、磷酸及磷酸盐 3.0g/kg。,食用淀粉,06.05.01,食用淀粉,category_name_exact,,磷酸及磷酸盐: SAFE | 高锰酸钾: SAFE,SAFE,2,Easy-type,Easy-type,L1_EASY,False
partial-dataset-v1.0.0,11,请核查以下配方是否合规：赤砂糖。双乙酰酒石酸单双甘油酯 3.0g/kg、二氧化硫及亚硫酸盐 0.15g/kg、褐藻酸钠 12g/kg、汉生胶 4g/kg、卡拉胶 3.5g/kg,赤砂糖、原糖、其他糖和糖浆,11.01.02,赤砂糖、原糖、其他糖和糖浆,category_name_exact,,双乙酰酒石酸单双甘油酯: SAFE | 二氧化硫及亚硫酸盐: RISK_OVERLIMIT | 褐藻酸钠: RISK_OVERLIMIT | 汉生胶: SAFE,RISK,4,O-type,O-type,L2_SINGLE,False
partial-dataset-v1.0.0,12,请核查经表面处理的鲜水果配方中添加司盘类2.4g/kg、对羟基苯甲酸酯类及其钠盐0.01g/kg、二氧化硫及亚硫酸盐0.1g/kg、氢化松香甘油酯0.8g/kg、山梨酸及其钾盐0.3g/kg的使用是否符合GB2760标准。,经表面处理的鲜水果,04.01.01.02,经表面处理的鲜水果,category_name_exact,,山梨酸及其钾盐: SAFE | 司盘类: SAFE | 对羟基苯甲酸酯类及其钠盐: SAFE | 二氧化硫及亚硫酸盐: RISK_OVERLIMIT | 氢化松香甘油酯: RISK_OVERLIMIT,RISK,5,Easy-type,Easy-type,L1_EASY,False
partial-dataset-v1.0.0,13,请核查以下配方的合规性：靛蓝及其铝色淀 0.06g/kg、赤藓红及其铝色淀 0.075g/kg、姜黄素 0.02g/kg，是否适用于可可制品,可可制品、巧克力和巧克力制品(包括代可可脂巧克力及制品)以及糖果(05.01.01可可制品除外),05.0,可可制品、巧克力和巧克力制品(包括代可可脂巧克力及制品)以及糖果,rule_category_name_exact,,靛蓝及其铝色淀: SAFE | 赤藓红及其铝色淀: RISK_OVERLIMIT | 姜黄素: RISK_OVERLIMIT,RISK,3,H-type,H-type|O-type,L3_MIXED,False
